Feature,Coefficient
upb_upb_0-1k,3.516244908973465
term_36,1.0490501086985202
upb_upb_7.5k+,-0.8641433744815047
term_60,0.8198568085275564
upb_upb_5-7.5k,-0.778881322925257
upb_upb_2.5-5k,-0.4095218583434669
age_13-18m,-0.3514047742880527
term_24,0.34048007288089593
fico_fico_740+,0.27052937389355153
age_7-12m,-0.26319756361963065
age_19-24m,-0.2220257338720731
age_4-6m,-0.1536051068559748
fico_fico_700-739,0.133540912493054
age_24m+,-0.10484225141963541
program_P3,-0.08885870443239886
fico_fico_660-699,0.08060817681192901
age_2-3m,-0.06895599032212753
term_6,-0.041370794482329956
fico_fico_<620,-0.03537748230014381
program_P2,-0.03096282470397799
term_12,0.007313916467028031
